 2,1 
 5,1 
 6,1 
 1,2 
 3,2 
 11,2 
 2,3 
 4,3 
 16,3 
 3,4 
 5,4 
 21,4 
 1,5 
 4,5 
 26,5 
 1,6 
 7,6 
 10,6 
 6,7 
 8,7 
 30,7 
 7,8 
 9,8 
 42,8 
 8,9 
 10,9 
 38,9 
 6,10 
 9,10 
 12,10 
 2,11 
 12,11 
 15,11 
 10,12 
 11,12 
 13,12 
 12,13 
 14,13 
 37,13 
 13,14 
 15,14 
 33,14 
 11,15 
 14,15 
 17,15 
 3,16 
 17,16 
 20,16 
 15,17 
 16,17 
 18,17 
 17,18 
 19,18 
 32,18 
 18,19 
 20,19 
 53,19 
 16,20 
 19,20 
 22,20 
 4,21 
 22,21 
 25,21 
 20,22 
 21,22 
 23,22 
 22,23 
 24,23 
 52,23 
 23,24 
 25,24 
 48,24 
 21,25 
 24,25 
 27,25 
 5,26 
 27,26 
 30,26 
 25,27 
 26,27 
 28,27 
 27,28 
 29,28 
 47,28 
 28,29 
 30,29 
 43,29 
 7,30 
 26,30 
 29,30 
 32,31 
 35,31 
 54,31 
 18,32 
 31,32 
 33,32 
 14,33 
 32,33 
 34,33 
 33,34 
 35,34 
 36,34 
 31,35 
 34,35 
 56,35 
 34,36 
 37,36 
 40,36 
 13,37 
 36,37 
 38,37 
 9,38 
 37,38 
 39,38 
 38,39 
 40,39 
 41,39 
 36,40 
 39,40 
 57,40 
 39,41 
 42,41 
 45,41 
 8,42 
 41,42 
 43,42 
 29,43 
 42,43 
 44,43 
 43,44 
 45,44 
 46,44 
 41,45 
 44,45 
 58,45 
 44,46 
 47,46 
 50,46 
 28,47 
 46,47 
 48,47 
 24,48 
 47,48 
 49,48 
 48,49 
 50,49 
 51,49 
 46,50 
 49,50 
 59,50 
 49,51 
 52,51 
 55,51 
 23,52 
 51,52 
 53,52 
 19,53 
 52,53 
 54,53 
 31,54 
 53,54 
 55,54 
 51,55 
 54,55 
 60,55 
 35,56 
 57,56 
 60,56 
 40,57 
 56,57 
 58,57 
 45,58 
 57,58 
 59,58 
 50,59 
 58,59 
 60,59 
 55,60 
 56,60 
 59,60 
